membership:sample_set_id	sample_id
PoN_TSCA21_Normals	CCLF_RCRF1015-Normal-SM-GBJ9Z
PoN_TSCA21_Normals	EH029-Normal-SM-GBJAT
PoN_TSCA21_Normals	CCLF_RCRF1011-Normal-SM-GBJBC
PoN_TSCA21_Normals	PEDS105-Normal-SM-GBJBP
PoN_TSCA21_Normals	CCLF_RCRF1012-Normal-SM-GBJAN
PoN_TSCA21_Normals	EH030-Normal-SM-GBJBI
PoN_TSCA21_Normals	PEDS063-Normal-SM-GBJB9
PoN_TSCA21_Normals	CCLF_RCRF1017-Normal-SM-GBJAJ
PoN_TSCA21_Normals	PEDS105-Normal-SM-GBJ9V
PoN_TSCA21_Normals	CCLF_RCRF1016-Normal-SM-GBJBK
PoN_TSCA21_Normals	JL62-Normal-SM-GBJAO
