membership:sample_set_id	sample_id
Cum_22_all	AA33-Normal-SM-D4L4D
Cum_22_all	AA34-Tumor-SM-D4L25
Cum_22_all	AA36-Tumor-SM-D4L2H
Cum_22_all	AA39-Tumor-SM-D4L3Q
Cum_22_all	AA40-Tumor-SM-D4L42
Cum_22_all	AB044-Tumor-SM-D4L2M
Cum_22_all	ANGMCSS-Tumor-SM-D4L2G
Cum_22_all	BT1008-Tumor-SM-D4L45
Cum_22_all	BT922-Tumor-SM-D4L1W
Cum_22_all	BT923-Tumor-SM-D4L3W
Cum_22_all	BT950-Tumor-SM-D4L48
Cum_22_all	BT961-Tumor-SM-D4L3C
Cum_22_all	BT972-Tumor-SM-D4L3Y
Cum_22_all	CHLA200-Tumor-SM-CNN37
Cum_22_all	CO001-Tumor-SM-D4L3V
Cum_22_all	CO002-Tumor-SM-D4L47
Cum_22_all	CO003-Tumor-SM-D4L1Y
Cum_22_all	CO004-Tumor-SM-D4L3B
Cum_22_all	CO005-Tumor-SM-D4L2P
Cum_22_all	CO006-Tumor-SM-D4L7Q
Cum_22_all	CO007-Tumor-SM-D4L49
Cum_22_all	COGAR359-Tumor-SM-CNN4H
Cum_22_all	COGH430-Tumor-SM-CNN2V
Cum_22_all	CY004-Tumor-SM-D4L3I
Cum_22_all	CY007-Tumor-SM-D4L2V
Cum_22_all	CY010-Tumor-SM-D4L2Z
Cum_22_all	DW027-Tumor-SM-CJX4Z
Cum_22_all	DW031-Tumor-SM-CJX51
Cum_22_all	DW031-Tumor-SM-CJX52
Cum_22_all	DW032-Tumor-SM-CJX53
Cum_22_all	DW033-Tumor-SM-CJX54
Cum_22_all	EH014-Normal-SM-D4L35
Cum_22_all	EH014-Normal-SM-D4L46
Cum_22_all	EH014-Normal-SM-D4L27
Cum_22_all	EH014-Tumor-SM-D4L26
Cum_22_all	EH014-Tumor-SM-D4L1T
Cum_22_all	EH014-Tumor-SM-D4L2W
Cum_22_all	EH015-Normal-SM-D4L2J
Cum_22_all	EH015-Normal-SM-D4L38
Cum_22_all	EH015-Normal-SM-D4L2L
Cum_22_all	EH015-Tumor-SM-D4L1Z
Cum_22_all	EH015-Tumor-SM-D4L2X
Cum_22_all	EH015-Tumor-SM-D4L3A
Cum_22_all	EH015-Tumor-SM-D4L2B
Cum_22_all	EH016-Normal-SM-D4L2E
Cum_22_all	GIMEN-Tumor-SM-D4L3E
Cum_22_all	H103-Tumor-SM-D4L41
Cum_22_all	H157-Tumor-SM-D4L34
Cum_22_all	HG002-Tumor-SM-D4L3T
Cum_22_all	HG008-Tumor-SM-D4L3O
Cum_22_all	HG009-Tumor-SM-D4L3D
Cum_22_all	HG019-Tumor-SM-D4L3Z
Cum_22_all	HG020-Tumor-SM-D4L2Q
Cum_22_all	JL54-Normal-SM-D4L3X
Cum_22_all	JL54-Tumor-SM-D4L2D
Cum_22_all	JL58-Normal-SM-D4L4B
Cum_22_all	JL58-Tumor-SM-D4L32
Cum_22_all	JNT100-Tumor-SM-D1849
Cum_22_all	JNT101-Tumor-SM-D184A
Cum_22_all	JNT102-Tumor-SM-D184B
Cum_22_all	JNT103-Tumor-SM-D184C
Cum_22_all	JNT104-Tumor-SM-D184D
Cum_22_all	JNT105-Tumor-SM-D184E
Cum_22_all	JNT106-Tumor-SM-D184F
Cum_22_all	JNT107-Tumor-SM-D184G
Cum_22_all	JNT108-Tumor-SM-D184H
Cum_22_all	JNT109-Tumor-SM-D184I
Cum_22_all	JNT110-Tumor-SM-D184J
Cum_22_all	JNT111-Tumor-SM-D184K
Cum_22_all	JNT112-Tumor-SM-D184L
Cum_22_all	JNT113-Tumor-SM-D184M
Cum_22_all	JNT114-Tumor-SM-D184N
Cum_22_all	JNT115-Tumor-SM-D184O
Cum_22_all	JNT116-Tumor-SM-D184P
Cum_22_all	JNT117-Tumor-SM-D184Q
Cum_22_all	JNT118-Tumor-SM-D184R
Cum_22_all	JNT119-Tumor-SM-D184S
Cum_22_all	JNT120-Tumor-SM-D184T
Cum_22_all	JNT121-Tumor-SM-D184U
Cum_22_all	JNT122-Tumor-SM-D184V
Cum_22_all	JNT123-Tumor-SM-D184W
Cum_22_all	JNT124-Tumor-SM-D184X
Cum_22_all	JNT125-Tumor-SM-D184Y
Cum_22_all	JNT126-Tumor-SM-D184Z
Cum_22_all	JNT127-Tumor-SM-D1851
Cum_22_all	JNT128-Tumor-SM-D1852
Cum_22_all	JNT129-Tumor-SM-D1853
Cum_22_all	JNT130-Tumor-SM-D1854
Cum_22_all	JNT131-Tumor-SM-D1855
Cum_22_all	JNT132-Tumor-SM-D1856
Cum_22_all	JNT133-Tumor-SM-D1857
Cum_22_all	JNT134-Tumor-SM-D1858
Cum_22_all	JNT135-Tumor-SM-D1859
