membership:sample_set_id	sample_id
COHORT_AA	AA33-Normal-SM-D4L4D
COHORT_AA	AA34-Tumor-SM-D4L25
COHORT_AA	AA36-Tumor-SM-D4L2H
COHORT_AA	AA39-Tumor-SM-D4L3Q
COHORT_AA	AA40-Tumor-SM-D4L42
COHORT_AA	AA24-Tumor-SM-DHZ8W
COHORT_AA	AA25-Tumor-SM-DHZ99
COHORT_AA	AA33-Normal-SM-DHZ9L
COHORT_AA	AA33-Tumor-SM-DHZ9X
COHORT_AA	AA38-Tumor-SM-DHZ98
COHORT_AA	AA39-Tumor-SM-DHZAA
COHORT_AA	AA40-Tumor-SM-DHZ7W
COHORT_AA	AA42-Tumor-SM-DHZ9W
COHORT_AA	AA43-Tumor-SM-DHZ8K
COHORT_AA	AA44-Normal-SM-DHZ88
COHORT_AA	AA45-Tumor-SM-DHZ9K
COHORT_AA	AA46-Tumor-SM-DHZA9
COHORT_AA	AA47-Tumor-SM-DHZ7V
COHORT_AA	AA38-Tumor-SM-E7S17
COHORT_AA	AA42-Tumor-SM-E7S2I
COHORT_AA	AA45-Tumor-SM-E7RZ5
COHORT_AA	AA47-Tumor-SM-E7S1J
COHORT_AA	AA49-Tumor-SM-E7S1V
COHORT_AA	AA49-Tumor-SM-EUVFI
COHORT_AA	AA53-Tumor-SM-EUVFU
COHORT_AA	AA55-Tumor-SM-EUVGJ
COHORT_AA	AA56-Tumor-SM-EUVGH
COHORT_AA	AA59-Tumor-SM-EUVH6
COHORT_AA	AA66-Tumor-SM-F29RQ
COHORT_AA	CCLF_AA1003-Tumor-SM-F29RS
COHORT_AA	CCLF_AA1005-Tumor-SM-F29RT
COHORT_AA	CCLF_AA1008-Tumor-SM-F29RU
COHORT_AA	AA40-Tumor-SM-F67ES
COHORT_AA	AA44-Normal-SM-F67ET
COHORT_AA	AA55-Tumor-SM-F67F6
COHORT_AA	AA59-Tumor-SM-F67FV
COHORT_AA	CCLF_AA1012-Tumor-SM-F67DF
COHORT_AA	CCLF_AA1015-Tumor-SM-F67F7
COHORT_AA	CCLF_AA1016-Tumor-SM-F67FJ
COHORT_AA	CCLF_AA1017-Tumor-SM-F67EI
COHORT_AA	AA53-Tumor-SM-GBJ9E
COHORT_AA	AA55-Tumor-SM-GBJBF
COHORT_AA	AA56-Tumor-SM-GBJ92
COHORT_AA	CCLF_AA1016-Tumor-SM-GBJAG
COHORT_AA	CCLF_AA1019-Tumor-SM-GBJ91
COHORT_AA	CCLF_AA1022-Tumor-SM-GBJ9T
COHORT_AA	CCLF_AA1023-Tumor-SM-GBJ9H
COHORT_AA	CCLF_AA1024-Tumor-SM-GBJ93
COHORT_AA	CCLF_AA1026-Tumor-SM-GBJ9N
COHORT_AA	AA53-Tumor-SM-GBJAU
COHORT_AA	AA53-Tumor-SM-GL7LQ
COHORT_AA	AA61-Tumor-SM-GL7LF
COHORT_AA	CCLF_AA1005-Tumor-SM-GL7NT
COHORT_AA	CCLF_AA1005-Tumor-SM-GL7LE
COHORT_AA	CCLF_AA1024-Tumor-SM-GL7LL
COHORT_AA	CCLF_AA1001-Tumor-SM-GL7N2
COHORT_AA	CCLF_AA1038-Tumor-SM-GL7NJ
COHORT_AA	CCLF_AA1040-Tumor-SM-GL7MW
COHORT_AB	AB044-Tumor-SM-D4L2M
COHORT_AB	AB035-Tumor-SM-DB3R5
COHORT_AB	AB055-Tumor-SM-DB2IN
COHORT_AB	AB056-Normal-SM-DB2JM
COHORT_AB	AB056-Tumor-SM-DB2JY
COHORT_AB	AB057-Tumor-SM-DB3R2
COHORT_AB	AB058-Tumor-SM-DHZ6B
