Exported DNA SM-ID	Container	Stock DNA SM-ID	Container	Position	Parent DNA SM-ID	Root SM-ID	Original Material Type	Material Type	Collaborator Participant ID	Collaborator Sample ID	Collaborator Sample ID_2	Collaborator Sample ID_3	Sample Type	Tumor Type	Culture Medium	Passage Number	Percent FBS	Media on Tube	Notes 1	Notes 2	External Sample ID
SM-D59KG	CO-19969476	SM-D182S	CO-19794146	A01		SM-D182S	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT49	JNT49			Tumor	Primary							JNT49
SM-D59KH	CO-19969476	SM-D182T	CO-19794146	A02		SM-D182T	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT50	JNT50			Tumor	Primary							JNT50
SM-D59KI	CO-19969476	SM-D182U	CO-19794146	A03		SM-D182U	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT51	JNT51			Tumor	Primary							JNT51
SM-D59KJ	CO-19969476	SM-D182V	CO-19794146	A04		SM-D182V	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT52	JNT52			Tumor	Primary							JNT52
SM-D59KK	CO-19969476	SM-D182W	CO-19794146	A05		SM-D182W	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT53	JNT53			Tumor	Primary							JNT53
SM-D59KL	CO-19969476	SM-D182X	CO-19794146	A06		SM-D182X	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT54	JNT54			Tumor	Primary							JNT54
SM-D59KM	CO-19969476	SM-D182Y	CO-19794146	A07		SM-D182Y	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT55	JNT55			Tumor	Primary							JNT55
SM-D59KN	CO-19969476	SM-D182Z	CO-19794146	A08		SM-D182Z	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT56	JNT56			Tumor	Primary							JNT56
SM-D59KO	CO-19969476	SM-D1831	CO-19794146	A09		SM-D1831	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT57	JNT57			Tumor	Primary							JNT57
SM-D59KP	CO-19969476	SM-D1832	CO-19794146	A10		SM-D1832	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT58	JNT58			Tumor	Primary							JNT58
SM-D59KQ	CO-19969476	SM-D1833	CO-19794146	A11		SM-D1833	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT59	JNT59			Tumor	Metastatic							JNT59
SM-D59KR	CO-19969476	SM-D1834	CO-19794146	A12		SM-D1834	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT60	JNT60			Tumor	Primary							JNT60
SM-D59KS	CO-19969476	SM-D1835	CO-19794146	B01		SM-D1835	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT61	JNT61			Tumor	Primary							JNT61
SM-D59KT	CO-19969476	SM-D1836	CO-19794146	B02		SM-D1836	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT62	JNT62			Tumor	Primary							JNT62
SM-D59KU	CO-19969476	SM-D1837	CO-19794146	B03		SM-D1837	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT63	JNT63			Tumor	Primary							JNT63
SM-D59KV	CO-19969476	SM-D1838	CO-19794146	B04		SM-D1838	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT64	JNT64			Tumor	Primary							JNT64
SM-D59KW	CO-19969476	SM-D1839	CO-19794146	B05		SM-D1839	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT65	JNT65			Tumor	Primary							JNT65
SM-D59KX	CO-19969476	SM-D183A	CO-19794146	B06		SM-D183A	"Cells:Cell Line, Viable"	DNA:DNA Somatic	JNT66	JNT66			Tumor	Metastatic							JNT66
